"name","caption","isglobal","note"
"2Wood Hollow Small - Impact - Heavy01",,,
"2Wood Hollow Small - Impact - Heavy02",,,
"2Wood Hollow Small - Impact - Heavy03",,,
"2Wood hollow Small - Impact - Light01",,,
"2Wood Hollow Small - Impact - Light02",,,
"2Wood Hollow Small - Impact - Light03",,,
"2Wood Hollow Small - Impact - Medium01",,,
"2Wood Hollow Small - Impact - Medium02",,,
"2Wood Hollow Small - Impact - Medium03",,,
"Alchemy Table - Break - Heavy01",,,
"Alchemy Table - Break - Heavy02",,,
"Alchemy Table - Break - Heavy03",,,
"Alchemy Table - Break - Light01",,,
"Alchemy Table - Break - Light02",,,
"Alchemy Table - Break - Light03",,,
"Alchemy Table - Break - Medium01",,,
"Alchemy Table - Break - Medium02",,,
"Alchemy Table - Break - Medium03",,,
"Alchemy Table - Destroy01","[alchemy table breaking]",,
"Alchemy Table - Impact - Heavy01",,,
"Alchemy Table - Impact - Heavy02",,,
"Alchemy Table - Impact - Heavy03",,,
"Alchemy Table - Impact - Light01",,,
"Alchemy Table - Impact - Light02",,,
"Alchemy Table - Impact - Light03",,,
"Alchemy Table - Impact - Medium01",,,
"Alchemy Table - Impact - Medium02",,,
"Alchemy Table - Impact - Medium03",,,
"ambience breaker arctic01",,,
"ambience breaker arctic02",,,
"ambience breaker arctic03",,,
"ambience breaker arctic04",,,
"ambience breaker arctic05",,,
"ambience breaker arctic06",,,
"ambience breaker arctic07",,,
"ambience breaker arctic08",,,
"ambience breaker arctic09",,,
"ambience breaker arctic10",,,
"ambience breaker arctic11",,,
"ambience breaker arctic12",,,
"ambience breaker arctic13",,,
"ambience breaker arctic14",,,
"ambience breaker global01",,,
"ambience breaker global02",,,
"ambience breaker global03",,,
"ambience breaker global04",,,
"ambience breaker global05",,,
"ambience breaker global06",,,
"ambience breaker global07",,,
"ambience breaker global08",,,
"ambience breaker global09",,,
"ambience breaker global10",,,
"ambience breaker global11",,,
"ambience breaker global12",,,
"ambience breaker global13",,,
"ambience breaker global14",,,
"ambience breaker manor outside01",,,
"ambience breaker manor outside02",,,
"ambience breaker manor outside03",,,
"ambience breaker manor outside04",,,
"ambience breaker manor outside05",,,
"ambience breaker manor outside06",,,
"ambience breaker manor outside07",,,
"ambience breaker manor outside08",,,
